cluster,district,date_announced,category,cases_total
KLUSTER KAMPUNG BUNGA SERIAN,SERIAN,2021-08-19,community,71
KLUSTER INDUSTRI PERUSAHAAN SATU BERANANG,HULU LANGAT,2021-08-19,workplace,156
KLUSTER JALAN KAMPUNG SIGAL,GUA MUSANG,2021-08-19,workplace,22
KLUSTER INDUSTRI JALAN TAIB SUNGAI CHOH,HULU SELANGOR,2021-08-19,workplace,22
KLUSTER JALAN RIA 25,"PETALING, KLANG",2021-08-19,workplace,18
KLUSTER TAPAK BINA HULU YAM BHARU,HULU SELANGOR,2021-08-19,workplace,27
KLUSTER PULAI TENGAH,SABAK BERNAM,2021-08-19,community,12
KLUSTER SENIBONG,"LUNDU, KUCHING",2021-08-19,community,9
KLUSTER JALAN CANGGIH SEMBILAN,JOHOR BAHRU,2021-08-19,workplace,11
KLUSTER JALAN TEKNOLOGI 10 TANGKAK,TANGKAK,2021-08-19,community,11
KLUSTER INDUSTRI TAMAN DESA KEMUMIN,"KOTA BHARU, BACHOK",2021-08-19,workplace,17
KLUSTER TASEK RAJA 2,PASIR MAS,2021-08-19,workplace,18
KLUSTER JALAN ENGKU MUDA,PASIR MAS,2021-08-19,community,13
KLUSTER TAMAN DESA JOHAN,PASIR MAS,2021-08-19,community,14
KLUSTER DAH KAMPUNG LADANG,KUBANG PASU,2021-08-19,community,76
KLUSTER NANGA PUTI,"TATAU, BINTULU",2021-08-19,community,41
KLUSTER SUNGAI BUAYA JENJAROM,KUALA LANGAT,2021-08-19,religious,19
KLUSTER JALAN IZZUDIN TAIPING,"LARUT, MATANG DAN SELAMA",2021-08-19,workplace,65
KLUSTER JALAN PERINDUSTRIAN BUKIT MINYAK SATU,SEBERANG PERAI TENGAH,2021-08-19,workplace,10
KLUSTER PERINDUSTRIAN SEELONG JAYA,KULAI,2021-08-19,workplace,13
KLUSTER KAMPUNG GAUNG,PASIR MAS,2021-08-19,community,16
KLUSTER INDUSTRI KEMASUL,"BENTONG, JEMPOL",2021-08-19,workplace,62
KLUSTER TAPAK BINA LALUAN KLANG BANTING,"KLANG, KUALA SELANGOR",2021-08-19,workplace,61
KLUSTER ZON DAGANG BEBAS 4A,"SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN, KERIAN",2021-08-19,workplace,27
KLUSTER TAPAK BINA JALAN U12,PETALING,2021-08-19,workplace,106
KLUSTER KAMPUNG JEJULOK BANGGU,"KOTA BHARU, BACHOK",2021-08-19,community,31
KLUSTER DAH DTI RELAU,BANDAR BAHARU,2021-08-19,detentionCentre,447
KLUSTER JALAN WAWASAN SIMPANG RENGGAM,KLUANG,2021-08-19,community,20
KLUSTER INDUSTRI CHERAS JAYA 1/4,HULU LANGAT,2021-08-19,workplace,79
KLUSTER KAMPUNG KUIN PASIR,"BACHOK, KOTA BHARU",2021-08-19,community,51
KLUSTER LORONG PERUSAHAAN BUKIT MINYAK SEMBILAN,"SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN",2021-08-19,workplace,55
KLUSTER INDUSTRI SUNGAI JANGGUT,KUALA SELANGOR,2021-08-19,workplace,81
KLUSTER JELAWAT DUA SEBERANG JAYA,SEBERANG PERAI TENGAH,2021-08-19,workplace,21
KLUSTER TEMBOK 2,"KOTA SETAR, PENDANG, PADANG TERAP, KUALA MUDA",2021-08-19,detentionCentre,696
KLUSTER JALAN TEPI SUNGAI MELINTANG,"HILIR PERAK, BAGAN DATUK",2021-08-19,workplace,269
KLUSTER INDUSTRI KINTA RAHMAN,"KINTA, KUALA KANGSAR",2021-08-19,workplace,418
KLUSTER INDUSTRI SERENDAH 17,"KLANG, PETALING, KUALA SELANGOR, SEPANG, KUALA LANGAT",2021-08-19,workplace,139
KLUSTER KAMPUNG TASEK KUBU,"MARANG, HULU TERENGGANU",2021-08-19,community,91
KLUSTER RANTAU TERATAI,MARAN,2021-08-19,community,65
KLUSTER JALAN TEKNOLOGI TIGA,KAMPAR,2021-08-20,workplace,28
KLUSTER LONG URUN,BELAGA,2021-08-20,community,1276
KLUSTER INDUSTRI RINCHING HULU DUA,HULU LANGAT,2021-08-20,workplace,54
KLUSTER KAMPUNG TELEMIN,LIPIS,2021-08-20,community,33
KLUSTER JALAN AH CHEONG INTAN,HILIR PERAK,2021-08-20,community,64
KLUSTER JALAN SUNGAI PUYU,SEBERANG PERAI UTARA,2021-08-20,workplace,17
KLUSTER KAMPUNG MUARA TEBAS 2,KUCHING,2021-08-20,community,118
KLUSTER KAMPUNG GOEBILT,KUCHING,2021-08-20,community,108
KLUSTER INDUSTRI JALAN DUA PERKAMPUNGAN PERABOT,HULU SELANGOR,2021-08-20,workplace,8
KLUSTER INDUSTRI BATU LIMA LORONG MANAN,KLANG,2021-08-20,workplace,9
KLUSTER INDUSTRI DUA BALAKONG TUJUH,HULU LANGAT ,2021-08-20,workplace,29
KLUSTER LUBOK JAMBU MULONG,KOTA BHARU,2021-08-20,community,11
KLUSTER JALAN SAGAI EMPAT,JOHOR BAHRU,2021-08-20,workplace,36
KLUSTER JALAN MASJID KAMPUNG BAKONG,PASIR MAS,2021-08-20,community,6
KLUSTER JALAN SERINGGOK,BAU,2021-08-20,workplace,34
KLUSTER TAMAN BAYAM BARU,"KOTA BHARU, BACHOK",2021-08-20,education,15
KLUSTER JALAN POST OFFICE LAMA,"KOTA BHARU, MACHANG",2021-08-20,workplace,13
KLUSTER KAMPUNG HUTAN BULOH,KOTA BHARU,2021-08-20,community,11
KLUSTER KAMPUNG PANTAI MELAWI,"KOTA BHARU, BACHOK",2021-08-20,education,27
KLUSTER HALAMAN KAMPUNG JAWA,BARAT DAYA,2021-08-20,workplace,28
KLUSTER INDUSTRI KAMPUNG PARIT BARU,PONTIAN,2021-08-20,workplace,81
KLUSTER JALAN BUTTERWORTH,SEBERANG PERAI UTARA,2021-08-20,workplace,42
KLUSTER JALAN LAMA DORANI,SABAK BERNAM,2021-08-20,community,20
KLUSTER PASIR JELATANG,KOTA BHARU,2021-08-20,community,18
KLUSTER LORONG TEMENGGUNG HAJI GOBIL,KUCHING,2021-08-20,community,44
KLUSTER TAPAK BINA DUA BUKIT RAJA,KLANG,2021-08-20,workplace,67
KLUSTER KAMPUNG PAK PURA,BACHOK,2021-08-20,community,35
KLUSTER LORONG TERUNTUM,KUCHING,2021-08-20,community,131
KLUSTER JALAN TUN SALLEH,HULU SELANGOR,2021-08-20,workplace,17
KLUSTER TAPAK BINA JALAN DAMAI RAYA,CHERAS,2021-08-20,workplace,192
KLUSTER KAMPUNG RANTAU PANJANG,PASIR MAS,2021-08-20,workplace,21
KLUSTER JALAN SRI BENGKAL,BATU PAHAT,2021-08-20,workplace,47
KLUSTER JALAN BAGAN 12,SEBERANG PERAI SELATAN,2021-08-20,workplace,44
KLUSTER INDUSTRI BELATI KEMPAS,JOHOR BAHRU,2021-08-20,workplace,40
KLUSTER INDUSTRI PERUSAHAAN DUA BUNTAR,KERIAN,2021-08-20,workplace,149
KLUSTER KAMPUNG SUNGAI LEBAK,BENTONG,2021-08-20,community,59
KLUSTER SAWIT SUKAU,"LAHAD DATU, KINABATANGAN",2021-08-20,workplace,51
KLUSTER INDUSTRI KAMPUNG JAYA 2,GOMBAK,2021-08-20,workplace,127
KLUSTER ANJUNG BATU SATU TANGKAK,TANGKAK,2021-08-21,community,34
KLUSTER TAPAK BINA LOMBONG TIMAH 2,KUALA LANGAT,2021-08-21,workplace,166
KLUSTER BEHRANG 2020,MUALLIM ,2021-08-21,religious,92
KLUSTER CANTAWAN,LAHAD DATU,2021-08-21,workplace,169
KLUSTER KAMPUNG BANGGOL ARA,PASIR MAS,2021-08-21,community,14
KLUSTER INDUSTRI SUNGAI SIPUT JEMENTAH,SEGAMAT,2021-08-21,workplace,277
KLUSTER KAMPUNG BATU BALAI JERANTUT,JERANTUT,2021-08-21,community,57
KLUSTER JALAN HAJI MALEK 2,JASIN,2021-08-21,workplace,58
KLUSTER TAMAN DAHLIA DUA,ROMPIN,2021-08-21,community,23
KLUSTER BATU DUA RANTAU PANJANG,PASIR MAS,2021-08-21,workplace,11
KLUSTER INDUSTRI LORONG SUNGAI PULOH,KLANG,2021-08-21,workplace,208
KLUSTER INDUSTRI REMBIA,ALOR GAJAH,2021-08-21,workplace,40
KLUSTER LORONG PELANGI 11 TANGKAK,TANGKAK,2021-08-21,community,13
KLUSTER LORONG PUTERI SAADONG,KOTA BHARU,2021-08-21,community,10
KLUSTER JALAN TEKNOLOGI PERINTIS SATU,JOHOR BAHRU,2021-08-21,workplace,10
KLUSTER DAH KAMPUNG MASJID,PADANG TERAP,2021-08-21,community,58
KLUSTER INDUSTRI MASYHUR SATU,JOHOR BAHRU,2021-08-21,workplace,50
KLUSTER KAMPUNG PAYA LADA,KOTA BHARU,2021-08-21,community,16
KLUSTER KAMPUNG KUBANG SIPUT,KOTA BHARU,2021-08-21,community,25
KLUSTER DESA PUTERI BAHAU,JEMPOL,2021-08-21,community,59
KLUSTER KAMPUNG BAGAN ATAS,"MACHANG, KOTA BHARU",2021-08-21,community,30
KLUSTER JALAN MASYHUR DUA,JOHOR BAHRU,2021-08-21,workplace,35
KLUSTER JALAN BUKIT RAMBAI,MELAKA TENGAH,2021-08-21,workplace,54
KLUSTER INDUSTRI HUTAN PUTEH,"MACHANG, TANAH MERAH",2021-08-21,workplace,20
KLUSTER SAWIT KEMAYAN,BERA,2021-08-21,workplace,55
KLUSTER INDUSTRI TEKNOLOGI CHENG 12,MELAKA TENGAH,2021-08-21,workplace,56
KLUSTER JALAN SUNGAI BESI,CHERAS,2021-08-21,workplace,109
KLUSTER JALAN PULAU CAREY,KUALA LANGAT,2021-08-21,workplace,60
KLUSTER AMPAR TENANG,SEPANG,2021-08-21,community,126
KLUSTER ENSEBANG PLAIE,SERIAN,2021-08-21,community,96
KLUSTER TAPAK BINA KAMPUNG ARAB,"PORT DICKSON, TAMPIN",2021-08-21,workplace,182
KLUSTER INDUSTRI JALAN EP SERKAM SATU,JASIN,2021-08-21,workplace,70
KLUSTER JALAN SME SATU,KULAI,2021-08-22,workplace,19
KLUSTER INDUSTRI JALAN ELKAY UTAMA,"JASIN, MELAKA TENGAH, TANGKAK",2021-08-22,workplace,237
KLUSTER SEMADA,SERIAN,2021-08-22,community,67
KLUSTER JALAN BESAR PULAU MERANTI,SEPANG,2021-08-22,highRisk,50
KLUSTER KAMPUNG PADANG TENGAH,KOTA BHARU,2021-08-22,community,20
KLUSTER INDUSTRI LOT TUJUH,MELAKA TENGAH,2021-08-22,workplace,52
KLUSTER KAMPUNG SUNGAI KABUK,CAMERON HIGHLANDS,2021-08-22,community,111
KLUSTER PERUMAHAN JALAN PADANG TEMBAK,"KOTA BHARU, TANAH MERAH",2021-08-22,community,20
KLUSTER DERMAGA HALAMAN TIMUR,JOHOR BAHRU,2021-08-22,workplace,8
KLUSTER JALAN ISTIMEWA LAPAN,JOHOR BAHRU,2021-08-22,workplace,44
KLUSTER JALAN JINJANG AMAN,KEPONG,2021-08-22,workplace,10
KLUSTER KAMPUNG MACHANG GOCHOH,PASIR MAS,2021-08-22,community,5
KLUSTER INDUSTRI JALAN LUNDANG,"TUMPAT, KOTA BHARU",2021-08-22,workplace,13
KLUSTER PERUSAHAAN TUPAI 15,"LARUT, MATANG DAN SELAMA",2021-08-22,workplace,13
KLUSTER KAMPUNG DURIAN KUDUNG,BACHOK,2021-08-22,community,33
KLUSTER JALAN TDB SATU,MELAKA TENGAH,2021-08-22,workplace,25
KLUSTER KAMPUNG MATANG LOT,KUCHING,2021-08-22,community,62
KLUSTER KAMPUNG PAUH TEMANGAN,MACHANG ,2021-08-22,community,45
KLUSTER DATARAN SATRIA PERWIRA,TAMPIN,2021-08-22,workplace,55
KLUSTER INDUSTRI JALAN HAJI MANAN KLUANG,KLUANG,2021-08-22,workplace,264
KLUSTER TAPAK BINA JALAN GELUGOR 2,SEBERANG PERAI UTARA,2021-08-22,workplace,92
KLUSTER KAMPUNG PENANGAH,TONGOD,2021-08-22,community,228
KLUSTER KAMPUNG LINTANG BARU,SERIAN,2021-08-22,community,166
KLUSTER SUNGAI PENYARAI 2,"TATAU, BINTULU",2021-08-22,community,104
KLUSTER JALAN PADANG HILIRAN,"KUALA TERENGGANU, KUALA NERUS, MARANG, SETIU",2021-08-23,workplace,54
KLUSTER KAMPUNG PULAU SA,PASIR PUTEH,2021-08-23,community,37
KLUSTER LORONG TAMAN SARI,KOTA BHARU,2021-08-23,workplace,8
KLUSTER JALAN AMAL BAKRI,MUAR,2021-08-23,workplace,30
KLUSTER KAMPUNG PAYA MENGKUANG,PASIR MAS,2021-08-23,community,14
KLUSTER INDUSTRI SEROJA 28,KULAI ,2021-08-23,workplace,66
KLUSTER KOTA GELANGGI DUA,JERANTUT,2021-08-23,community,29
KLUSTER JALAN LINGKARAN DALAM,JOHOR BAHRU,2021-08-23,workplace,16
KLUSTER SAWIT CHINI,"PEKAN, BERA",2021-08-23,workplace,71
KLUSTER MAS SAWAI,SUBIS,2021-08-23,workplace,168
KLUSTER INDUSTRI SUNGAI PINANG 5/1,"KLANG, KUALA LANGAT",2021-08-23,workplace,30
KLUSTER KAMPUNG KAYU RENDANG,KOTA BHARU,2021-08-23,community,14
KLUSTER JALAN BUNUT SUSU,PASIR MAS,2021-08-23,community,8
KLUSTER INDUSTRI PARIT PANJANG,PONTIAN ,2021-08-23,workplace,10
KLUSTER JALAN TANGOK,BACHOK,2021-08-23,workplace,13
KLUSTER KAMPUNG BAKAT,PASIR MAS,2021-08-23,community,6
KLUSTER BUKIT RASAH,SEREMBAN,2021-08-23,highRisk,44
KLUSTER KUALA BETIS,GUA  MUSANG,2021-08-23,community,47
KLUSTER INDUSTRI BATU 10 SEGAMAT,SEGAMAT,2021-08-23,workplace,44
KLUSTER SUNGAI BELUKANG BAROH,HILIR PERAK,2021-08-23,community,30
KLUSTER INDUSTRI KORPORAT SATU,"KLANG, KUALA SELANGOR, KUALA LANGAT",2021-08-23,workplace,270
KLUSTER INDUSTRI IDAMAN 15,KULAI,2021-08-23,workplace,17
KLUSTER JALAN PERAK KAMPAR,KAMPAR,2021-08-23,highRisk,41
KLUSTER DAH 12 INDUSTRI KULIM,KULIM,2021-08-23,workplace,113
KLUSTER NANSANG TUGONG,PAKAN,2021-08-23,community,70
KLUSTER DAH LADANG PELAM,BALING,2021-08-23,workplace,56
KLUSTER INDUSTRI MAMBANG DIAWAN TIGA,KAMPAR,2021-08-23,workplace,145
KLUSTER KAMPUNG TEMALIAN,RAUB,2021-08-23,community,75
KLUSTER JALAN SUNGAI KLUANG,"BARAT DAYA, TIMUR LAUT, SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN",2021-08-23,workplace,418
KLUSTER TAPAK BINA JALAN MENGKIBOL,KLUANG ,2021-08-23,workplace,38
KLUSTER KAMPUNG BINJAL BUNUT SUSU,PASIR MAS,2021-08-24,community,12
KLUSTER KAMPUNG RHU MUDA,MARANG,2021-08-24,community,68
KLUSTER INDUSTRI JALAN P/2A,HULU LANGAT,2021-08-24,workplace,57
KLUSTER INDUSTRI JALAN BUKIT TAMBUN,SEBERANG PERAI TENGAH,2021-08-24,workplace,25
KLUSTER JALAN KEMPAS DUA DESARU,KOTA TINGGI,2021-08-24,workplace,23
KLUSTER LORONG PERUSAHAAN MAJU 11,SEBERANG PERAI TENGAH,2021-08-24,workplace,21
KLUSTER TEMBOK KOK KLANG,KANGAR,2021-08-24,detentionCentre,180
KLUSTER KAMPUNG JAWA KOTA TINGGI,KOTA TINGGI,2021-08-24,community,12
KLUSTER TAPAK BINA JALAN LAPAN OLAK LEMPIT,"KUALA LANGAT, KLANG",2021-08-24,workplace,60
KLUSTER NANGA PELUGAU,SELANGAU,2021-08-24,community,38
KLUSTER KAMPUNG BECHAK MULONG,KOTA BHARU,2021-08-24,community,14
KLUSTER JALAN PERINDUSTRIAN REMBIA SATU,ALOR GAJAH,2021-08-24,workplace,35
KLUSTER TAPAK BINA BUKIT MAHKOTA,HULU LANGAT,2021-08-24,workplace,122
KLUSTER KAMPUNG PADANG DALAM KEDAI LALAT,KOTA BHARU,2021-08-24,community,13
KLUSTER TAPAK BINA JALAN TAMPIN,KLANG,2021-08-24,workplace,19
KLUSTER LORONG HAJI MUGHNI,KLANG,2021-08-24,highRisk,8
KLUSTER INDUSTRI JALAN 5A/44 KEMUMIN,KOTA BHARU,2021-08-24,workplace,14
KLUSTER KAMPUNG PALAS MERAH,TUMPAT,2021-08-24,community,13
KLUSTER TAPAK BINA PERSISIRAN SUTERA,JOHOR BAHRU,2021-08-24,workplace,82
KLUSTER INDUSTRI MERANTI PERMAI SATU,"SEPANG, PETALING, HULU LANGAT",2021-08-24,workplace,11
KLUSTER JALAN DOKTOR KOTA BHARU,KOTA BHARU,2021-08-24,workplace,12
KLUSTER INDUSTRI JALAN PUCHONG KAJANG,"SEPANG, PETALING",2021-08-24,workplace,35
KLUSTER BATU EMPAT JALAN KUALA KRAI,KOTA BHARU,2021-08-24,workplace,10
KLUSTER JALAN SYERS,KEPONG,2021-08-24,highRisk,28
KLUSTER JALAN INDUSTRI BUKIT PANCHOR,SEBERANG PERAI SELATAN,2021-08-24,workplace,103
KLUSTER TINGKAT PERUSAHAAN 4B,SEBERANG PERAI TENGAH,2021-08-24,workplace,58
KLUSTER TAPAK BINA PERSIARAN CASSIA SELATAN TIGA,SEBERANG PERAI SELATAN ,2021-08-24,workplace,72
KLUSTER JALAN HASIL DUA,JOHOR BAHRU,2021-08-24,workplace,30
KLUSTER KAMPUNG MASAI ASAL,JOHOR BAHRU,2021-08-24,community,299
KLUSTER DESA KENANGA,ROMPIN,2021-08-24,community,39
KLUSTER PERSIARAN BAYAN LEPAS,"BARAT DAYA, TIMUR LAUT, SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN, SEBERANG PERAI UTARA",2021-08-24,workplace,87
KLUSTER INDUSTRI SAWIT JALAN RIM,JASIN,2021-08-24,workplace,57
KLUSTER SUNGAI PIN 3,KINABATANGAN,2021-08-24,workplace,210
KLUSTER SIMPANG TIGA RUNGKUP,HILIR PERAK,2021-08-24,workplace,54
KLUSTER TAPAK BINA JALAN JELAWAI DUA,MUALLIM,2021-08-25,workplace,60
KLUSTER DAH LIMA INDUSTRI KULIM,"KULIM, BANDAR BAHARU, KUALA MUDA",2021-08-25,workplace,65
KLUSTER PAGAR JALAN BAKAU CONDONG,BATU PAHAT,2021-08-25,detentionCentre,49
KLUSTER INDUSTRI ANGGERIK MOKARA 59,KLANG,2021-08-25,workplace,53
KLUSTER JALAN SERASA,GUA MUSANG,2021-08-25,workplace,58
KLUSTER INDUSTRI JALAN TEKNOLOGI SIMPANG RENGGAM,KLUANG ,2021-08-25,workplace,94
KLUSTER KAMPUNG JERAM,SEREMBAN,2021-08-25,community,26
KLUSTER TENGGAROH 11,MERSING,2021-08-25,workplace,37
KLUSTER TAPAK BINA PERSIARAN PUNCAK ALAM 11,"KUALA SELANGOR, PETALING, KLANG",2021-08-25,workplace,53
KLUSTER JALAN ASSAM KUMBANG,"LARUT, MATANG DAN SELAMA",2021-08-25,highRisk,22
KLUSTER JALAN REJAB,KOTA TINGGI,2021-08-25,community,8
KLUSTER JALAN WESTERN 2,"SEPANG, KUALA LANGAT",2021-08-25,workplace,19
KLUSTER LEBUHRAYA RANTAU PANJANG,"PASIR MAS, KOTA BHARU",2021-08-25,workplace,18
KLUSTER JALAN KAMPUNG KELICAP,BATU PAHAT,2021-08-25,workplace,181
KLUSTER PAPULUT KENERING,HULU PERAK,2021-08-25,community,28
KLUSTER KAMPUNG BENDANG IKAN,PASIR MAS,2021-08-25,community,8
KLUSTER LORONG PERUSAHAAN 8C,SEBERANG PERAI TENGAH,2021-08-25,workplace,29
KLUSTER PESARA KAMPUNG JAWA,"BARAT DAYA, TIMUR LAUT",2021-08-25,workplace,49
KLUSTER TAPAK BINA PERSIARAN TECOMA 2,KEPONG,2021-08-25,workplace,94
KLUSTER JALAN HOSPITAL SRI AMAN,SRI AMAN,2021-08-25,highRisk,29
KLUSTER LORONG ENAM SEKINCHAN,SABAK BERNAM,2021-08-25,community,11
KLUSTER KAMPUNG JERAM PASIR PUTEH,PASIR PUTEH,2021-08-25,community,10
KLUSTER JEREK BARU,GUA MUSANG,2021-08-25,community,19
KLUSTER KAMPUNG KENANGA LABOK,MACHANG,2021-08-25,community,20
KLUSTER JALAN SEPANG 2,SEPANG,2021-08-25,highRisk,13
KLUSTER JALAN MUTIARA EMAS UTAMA,"MUAR, JOHOR BAHRU",2021-08-25,highRisk,20
KLUSTER SUNGAI DINAR,PONTIAN ,2021-08-25,workplace,25
KLUSTER JALAN LKS KUALA KRAI,KUALA KRAI,2021-08-25,workplace,34
KLUSTER TAPAK BINA JALAN PC 10,MUALLIM,2021-08-25,workplace,41
KLUSTER LORONG PERUSAHAAN MAJU DUA,SEBERANG PERAI TENGAH,2021-08-25,workplace,30
KLUSTER JALAN PERAK EMPAT,JOHOR BAHRU,2021-08-25,workplace,51
KLUSTER KAMPUNG LATA REK,KUALA KRAI,2021-08-25,community,87
KLUSTER INDUSTRI KANTHAN SATU,TEMERLOH,2021-08-25,workplace,106
KLUSTER INDUSTRI GEBENG 3/2,KUANTAN,2021-08-25,workplace,92
KLUSTER PERHENTIAN,BESUT,2021-08-25,community,172
KLUSTER JALAN LALANG BATU 30,HULU LANGAT,2021-08-25,workplace,54
KLUSTER JALAN NAKHODA MANJUNG,MANJUNG,2021-08-25,community,52
KLUSTER KAMPUNG LIMBONG,"DUNGUN, HULU TERENGGANU, KEMAMAN, KUALA TERENGGANU",2021-08-25,community,144
KLUSTER OPAR,BAU,2021-08-25,community,116
KLUSTER DAH ENAM INDUSTRI KULIM,"KULIM, BALING",2021-08-25,workplace,69
KLUSTER TAPAK BINA PERSIARAN EMAS,KUALA LANGAT,2021-08-25,workplace,54
KLUSTER JALAN KAMPUNG TENGAH MUAR,MUAR,2021-08-25,highRisk,72
KLUSTER JALAN PASAR DESA BUNUT SUSU,PASIR MAS,2021-08-26,community,16
KLUSTER JALAN PASAK,KOTA TINGGI,2021-08-26,community,14
KLUSTER JALAN SERAMPANG,JOHOR BAHRU,2021-08-26,highRisk,45
KLUSTER INDUSTRI JALAN MERDEKA 33,"MELAKA TENGAH, JASIN ",2021-08-26,workplace,54
KLUSTER INDUSTRI TAMAN FARMASEUTIKAL,PERAK TENGAH,2021-08-26,workplace,54
KLUSTER JALAN SRI PERANI,KOTA TINGGI,2021-08-26,community,14
KLUSTER TELOK BATU,MERADONG,2021-08-26,community,23
KLUSTER INDUSTRI DUA SUNGAI LALANG,HULU LANGAT,2021-08-26,workplace,86
KLUSTER INDUSTRI BATU 14 1/2 JERAM,KUALA SELANGOR,2021-08-26,workplace,33
KLUSTER TAPAK BINA PERSIARAN ALAM SARI,HULU LANGAT,2021-08-26,workplace,79
KLUSTER INDUSTRI JALAN EMPAT OLAK LEMPIT,KUALA LANGAT,2021-08-26,workplace,16
KLUSTER TAPAK BINA JALAN ECO BOTANI,JOHOR BAHRU,2021-08-26,workplace,73
KLUSTER INDUSTRI JALAN PBS,"PETALING, HULU LANGAT",2021-08-26,workplace,18
KLUSTER TAMAN WARTA,PASIR MAS,2021-08-26,community,5
KLUSTER INDUSTRI SAC LAPAN,KULAI,2021-08-26,workplace,28
KLUSTER TAPAK BINA JALAN PERUSAHAAN SATU,"LARUT, MATANG DAN SELAMA",2021-08-26,workplace,48
KLUSTER INDUSTRI IDAMAN TIGA,"KULAI, JOHOR BAHRU",2021-08-26,workplace,26
KLUSTER KAMPUNG TANJONG DAL,KOTA BHARU,2021-08-26,community,13
KLUSTER INDUSTRI LORONG TANJUNG TIGA,"SEREMBAN, PORT DICKSON",2021-08-26,workplace,19
KLUSTER JALAN HULU ENGKAMOP,"PAKAN, SARIKEI",2021-08-26,workplace,15
KLUSTER KAMPUNG DERDAP,KOTA BHARU,2021-08-26,community,18
KLUSTER SE-MENYAN,SIBU,2021-08-26,community,85
KLUSTER JALAN PUSARA SIMPANG RENGGAM,KLUANG,2021-08-26,highRisk,20
KLUSTER JALAN KEBUN NENAS 3D,KLANG,2021-08-26,workplace,26
KLUSTER DAH MENGKUANG,BALING,2021-08-26,education,50
KLUSTER JALAN SERUNAI,SEBERANG PERAI SELATAN,2021-08-26,workplace,85
KLUSTER JALAN KENANGA 29,KULAI,2021-08-26,workplace,11
KLUSTER HAMPARAN 2,KINABATANGAN,2021-08-26,workplace,29
KLUSTER SENAI MURNI 12,KULAI,2021-08-26,workplace,68
KLUSTER INDUSTRI PERUSAHAAN SURIA,"GOMBAK, KLANG, KUALA SELANGOR, KUALA LANGAT",2021-08-26,workplace,171
KLUSTER DAH LEBUH KULIM,"KULIM, KUALA MUDA, BALING, SEBERANG PERAI TENGAH",2021-08-26,highRisk,68
KLUSTER PAGAR TELUK INTAN,HILIR PERAK,2021-08-26,detentionCentre,113
KLUSTER LADANG PULAU CAREY,KUALA LANGAT,2021-08-26,workplace,88
KLUSTER DENGKIL JAYA,"SEPANG, GOMBAK",2021-08-26,community,262
KLUSTER JALAN TUN HABAB,KOTA TINGGI,2021-08-26,highRisk,18
KLUSTER LADANG 0004 KUALA BARAM,MIRI,2021-08-27,workplace,37
KLUSTER NANGA BENGAP,LUBOK ANTU,2021-08-27,community,46
KLUSTER KAMPUNG LUBOK PUKOL,KOTA BHARU,2021-08-27,community,18
KLUSTER JALAN NAFIRI,"SEBERANG PERAI SELATAN, SEBERANG PERAI TENGAH",2021-08-27,workplace,51
KLUSTER PERUMAHAN KETENGAH,DUNGUN ,2021-08-27,community,74
KLUSTER KAMPUNG RAJA CAMERON HIGHLANDS,CAMERON HIGHLANDS,2021-08-27,community,40
KLUSTER KAMPUNG SIMPANG ARANG,JOHOR BAHRU,2021-08-27,community,209
KLUSTER DURAS,SERIAN,2021-08-27,community,160
KLUSTER JALAN BBLS DUA,SEPANG,2021-08-27,workplace,6
KLUSTER INDUSTRI PERSIARAN DELIMA,"KLANG, KUALA LANGAT",2021-08-27,workplace,107
KLUSTER JALAN ISTANA,"KLANG, PETALING",2021-08-27,workplace,28
KLUSTER NANGA DAP,KANOWIT,2021-08-27,community,29
KLUSTER KAMPUNG KUSAR,PASIR MAS,2021-08-27,community,9
KLUSTER KAMPUNG NIK NAL,KOTA BHARU,2021-08-27,community,12
KLUSTER TAPAK BINA CHANGKAT SUNGAI ARA 20,BARAT DAYA,2021-08-27,workplace,114
KLUSTER TINGKAT PERUSAHAAN ENAM,SEBERANG PERAI TENGAH,2021-08-27,workplace,18
KLUSTER TAPAK BINA JALAN PERMATANG PAUH,SEBERANG PERAI TENGAH,2021-08-27,workplace,109
KLUSTER KAMPUNG BUKIT KECHIK,BACHOK,2021-08-27,community,26
