cluster,district,date_announced,category,cases_total
KLUSTER LORONG MAT NASIR,KOTA BHARU,2021-08-27,community,12
KLUSTER INDUSTRI BANDAR TUN ABDUL RAZAK,ROMPIN,2021-08-27,workplace,33
KLUSTER JERO GELASAH,SUBIS,2021-08-27,community,73
KLUSTER BUKIT TINGKAT,TEMERLOH,2021-08-27,workplace,84
KLUSTER PERSIARAN TEKNOLOGI 55,"KULAI, KLUANG, JOHOR BAHRU, KOTA TINGGI",2021-08-27,workplace,76
KLUSTER PLAMAN BANTANG,SERIAN,2021-08-27,community,75
KLUSTER KM20 JALAN BETONG,BETONG,2021-08-27,workplace,750
KLUSTER TEMBOK PUNCAK ALAM,KUALA SELANGOR,2021-08-27,detentionCentre,78
KLUSTER MAPU,TEBEDU,2021-08-27,community,260
KLUSTER MUNDAI,"SERIAN , KUCHING",2021-08-27,community,103
KLUSTER JALAN JERAM MASJID,MUAR,2021-08-28,workplace,54
KLUSTER INDUSTRI JALAN SUNGAI BUAYA KAMPUNG JENJAROM,KUALA LANGAT,2021-08-28,workplace,104
KLUSTER LADANG HIJAU 01,BELURU,2021-08-28,workplace,32
KLUSTER INDUSTRI SEELONG 89,KULAI,2021-08-28,workplace,54
KLUSTER KAMPUNG KETEREH,KOTA BHARU,2021-08-28,community,12
KLUSTER JALAN DENAI SATU KEMPAS,JOHOR BAHRU,2021-08-28,highRisk,63
KLUSTER INDUSTRI SEROJA EMPAT,"KULAI, JOHOR BAHRU, KOTA TINGGI",2021-08-28,workplace,34
KLUSTER TAMAN HARMONI KAMPUNG TONG,PASIR MAS,2021-08-28,community,38
KLUSTER JALAN MERAK MUAR,MUAR,2021-08-28,workplace,80
KLUSTER INDUSTRI JALAN PADANG GAJAH,KUALA SELANGOR,2021-08-28,workplace,57
KLUSTER TAPAK BINA KOTA EMERALD,GOMBAK,2021-08-28,workplace,70
KLUSTER JALAN UDANG HARIMAU DUA,KEPONG,2021-08-28,workplace,27
KLUSTER TAPAK BINA JALAN DESA PUTRA,TITIWANGSA,2021-08-28,workplace,80
KLUSTER KAMPUNG PANGKAL KALA,PASIR MAS,2021-08-28,community,9
KLUSTER CHABANG TIGA CHETOK,PASIR MAS,2021-08-28,community,7
KLUSTER TAPAK BINA JALAN PANAH 2,LEMBAH PANTAI,2021-08-28,workplace,24
KLUSTER KM 9 JALAN KUALA KRAI,KOTA BHARU,2021-08-28,workplace,13
KLUSTER INDUSTRI SILC SATU,JOHOR BAHRU,2021-08-28,workplace,32
KLUSTER TAMAN BAKTI,PASIR MAS,2021-08-28,community,19
KLUSTER PIN SUPU,KINABATANGAN,2021-08-28,workplace,35
KLUSTER INDUSTRI SRI LALANG KLUANG,KLUANG ,2021-08-28,workplace,316
KLUSTER JALAN SERI TANJUNG,SABAK BERNAM,2021-08-28,community,24
KLUSTER PASAR SAYUR KEMUNTING,"KUANTAN, PEKAN",2021-08-28,workplace,23
KLUSTER MERAJANG,LIMBANG,2021-08-28,community,32
KLUSTER LIMA,NABAWAN,2021-08-28,community,83
KLUSTER KAMPUNG ERONG MELINTANG,"BAGAN DATUK, HILIR PERAK, BATANG PADANG",2021-08-28,community,32
KLUSTER TAPAK BINA GAMBANG,KUANTAN,2021-08-28,workplace,54
KLUSTER KAMPUNG PERLOK,"JERANTUT, TEMERLOH",2021-08-28,community,150
KLUSTER INDUSTRI LINTANG KAMPUNG JAWA,BARAT DAYA,2021-08-28,workplace,60
KLUSTER INDUSTRI TANJUNG API,"KUANTAN, PEKAN",2021-08-28,workplace,100
KLUSTER TAPAK BINA JALAN BUKIT ANAK TUKUN,GOMBAK,2021-08-28,workplace,79
KLUSTER KAMPUNG SIMPOK,SERIAN,2021-08-28,community,343
KLUSTER INDUSTRI RINGAN SUNGAI SIPUT,KUALA KANGSAR,2021-08-28,workplace,245
KLUSTER JALAN USAHAWAN U1,"PETALING, KLANG, KUALA LANGAT, KUALA SELANGOR",2021-08-28,workplace,55
KLUSTER TAPAK BINA PERSIARAN RIMBA CYBER 10,SEPANG,2021-08-28,workplace,89
KLUSTER SIBULUH-NOWANG,BAU,2021-08-28,community,101
KLUSTER INDUSTRI TAHANA,JOHOR BAHRU,2021-08-29,workplace,152
KLUSTER JALAN PAUH LIMA GUNONG,"BACHOK, PASIR PUTEH",2021-08-29,community,51
KLUSTER INDUSTRI ISTIMEWA SATU,JOHOR BAHRU,2021-08-29,workplace,56
KLUSTER INDUSTRI JALAN PK 34,MELAKA TENGAH,2021-08-29,workplace,125
KLUSTER JALAN KUARTERS PEGAWAI,PASIR PUTEH,2021-08-29,workplace,31
KLUSTER TAPAK BINA RIMBUN 2,SEREMBAN,2021-08-29,workplace,78
KLUSTER JALAN PERINDUSTRIAN EMPAT,KULAI,2021-08-29,workplace,21
KLUSTER LANGAT MURNI,KUALA LANGAT,2021-08-29,education,17
KLUSTER INDUSTRI JALAN P10/16,"HULU LANGAT, KUALA LANGAT",2021-08-29,workplace,30
KLUSTER JALAN PERUSAHAAN SEMBILAN,"LARUT, MATANG DAN SELAMA",2021-08-29,workplace,31
KLUSTER KAMPUNG LIMAU PURUT,PASIR MAS,2021-08-29,community,6
KLUSTER INDUSTRI JALAN KPK SETENGAH,GOMBAK,2021-08-29,workplace,22
KLUSTER ARING SATU,GUA MUSANG,2021-08-29,community,20
KLUSTER JALAN INDUSTRI TIGA JELAPANG,KINTA,2021-08-29,workplace,118
KLUSTER JALAN MASJID LAMA BANDAR PASIR MAS,PASIR MAS,2021-08-29,workplace,11
KLUSTER INDUSTRI JALAN TAIPING,PETALING,2021-08-29,workplace,36
KLUSTER JALAN INTISARI,KEPONG ,2021-08-29,workplace,13
KLUSTER INDUSTRI PERUSAHAAN TIGA BUNTAR,KERIAN,2021-08-29,workplace,112
KLUSTER BANDAR BARU MUKAH,"MUKAH, DALAT",2021-08-29,workplace,70
KLUSTER INDUSTRI I-PARK 59,KULAI ,2021-08-29,workplace,311
KLUSTER KAMPUNG BATU KITANG JAYA,KUCHING,2021-08-29,community,39
KLUSTER INDUSTRI LAPANGAN SATU,KULAI,2021-08-29,workplace,217
