date,cases_active,cases_adolescent,cases_adult,cases_elderly
2021-02-28,26201,80,2039,119
2021-03-01,25538,58,1443,99
2021-03-02,24559,57,1202,129
2021-03-03,24021,60,1443,72
2021-03-04,23157,88,1570,130
2021-03-05,22030,174,1214,117
2021-03-06,21155,87,1143,129
2021-03-07,20329,97,1235,110
2021-03-08,19774,88,1152,110
2021-03-09,18700,46,1028,77
2021-03-10,18006,60,1161,85
2021-03-11,17540,59,1291,121
2021-03-12,17070,84,1123,132
2021-03-13,16707,65,1050,128
2021-03-14,16275,66,1004,105
2021-03-15,15507,82,890,79
2021-03-16,15200,60,767,92
2021-03-17,15071,54,790,77
2021-03-18,14778,70,860,90
2021-03-19,14356,67,1233,101
2021-03-20,14438,64,1333,112
2021-03-21,14514,57,1048,82
2021-03-22,14130,47,903,59
2021-03-23,14455,62,1096,96
2021-03-24,14638,64,988,72
2021-03-25,14505,63,992,121
2021-03-26,14270,72,918,98
2021-03-27,14210,102,799,77
2021-03-28,14381,74,983,102
2021-03-29,14220,52,708,74
2021-03-30,14201,68,859,74
2021-03-31,14605,85,1166,82
2021-04-01,14400,74,871,100
2021-04-02,14247,60,919,107
2021-04-03,14433,91,1275,100
2021-04-04,14510,71,885,100
2021-04-05,14279,61,783,93
2021-04-06,14162,94,886,77
2021-04-07,14098,68,811,128
2021-04-08,14204,77,1014,98
2021-04-09,14806,117,1349,174
2021-04-10,15060,115,1077,149
2021-04-11,15575,104,1300,143
2021-04-12,15836,80,918,142
2021-04-13,16301,87,1336,154
2021-04-14,16697,219,1221,166
2021-04-15,17576,234,1500,202
2021-04-16,18601,169,1961,179
2021-04-17,19095,327,1570,172
2021-04-18,19855,212,1517,171
2021-04-19,20523,259,1420,179
2021-04-20,21269,342,1552,194
2021-04-21,21688,413,1498,201
2021-04-22,22015,540,1788,230
2021-04-23,22513,322,1884,252
2021-04-24,22927,381,1768,244
2021-04-25,23754,279,1781,273
2021-04-26,24714,255,1859,286
2021-04-27,25415,318,1813,266
2021-04-28,26720,358,2057,363
2021-04-29,28094,341,2182,371
2021-04-30,29228,473,2420,405
2021-05-01,29632,279,1899,308
2021-05-02,30340,390,2182,336
2021-05-03,30754,239,1683,273
2021-05-04,31517,289,2074,356
2021-05-05,32940,303,2598,434
2021-05-06,33763,241,2500,418
2021-05-07,34790,372,2968,524
2021-05-08,36565,297,3050,537
2021-05-09,37061,238,2599,422
2021-05-10,37397,291,2544,495
2021-05-11,38500,296,2779,427
2021-05-12,40102,324,3355,582
2021-05-13,41583,480,3288,577
2021-05-14,41472,273,2751,586
2021-05-15,42136,235,2778,605
2021-05-16,41890,268,2559,521
2021-05-17,43507,307,2986,681
2021-05-18,44828,331,3338,658
2021-05-19,47341,381,4225,784
2021-05-20,50172,466,4759,844
2021-05-21,52107,419,4571,753
2021-05-22,53683,428,4178,830
2021-05-23,57023,438,4626,899
2021-05-24,60019,482,4472,701
2021-05-25,63459,533,4944,833
2021-05-26,66209,501,5103,836
2021-05-27,69409,578,5390,832
2021-05-28,72824,627,5564,871
2021-05-29,76219,619,6110,920
2021-05-30,78018,475,4656,748
2021-05-31,79524,518,4456,750
2021-06-01,80475,526,4800,758
2021-06-02,82275,507,5265,706
2021-06-03,83332,535,5766,776
2021-06-04,84370,494,5276,740
2021-06-05,85608,491,5044,718
2021-06-06,86629,366,4287,559
2021-06-07,84270,376,3659,514
2021-06-08,82798,357,3889,486
2021-06-09,81576,415,4290,564
2021-06-10,79849,396,3892,545
2021-06-11,78865,405,4787,509
2021-06-12,76248,398,3908,500
2021-06-13,73325,334,3672,415
2021-06-14,71626,327,3469,469
2021-06-15,70113,358,3654,541
2021-06-16,67950,355,3494,496
2021-06-17,66098,387,4122,456
2021-06-18,65603,337,4180,485
2021-06-19,64524,331,4185,449
2021-06-20,63816,354,3566,383
2021-06-21,62919,304,3121,372
2021-06-22,62028,290,3244,462
2021-06-23,60817,307,3649,448
2021-06-24,61163,379,4015,517
2021-06-25,60118,329,4108,431
2021-06-26,60647,326,4280,464
2021-06-27,61396,316,4174,424
2021-06-28,61813,348,3755,385
2021-06-29,62845,367,4191,517
2021-06-30,64130,377,4401,507
2021-07-01,65454,379,4843,503
2021-07-02,66085,413,5084,524
2021-07-03,66959,408,4565,484
2021-07-04,67670,383,4212,464
2021-07-05,69448,352,4683,439
2021-07-06,72202,400,4978,522
2021-07-07,74345,456,5029,479
2021-07-08,77276,493,6533,682
2021-07-09,80666,517,6471,637
2021-07-10,84022,485,6453,651
2021-07-11,87843,556,6492,661
2021-07-12,91273,580,5993,649
2021-07-13,96237,708,7622,759
2021-07-14,101360,699,8196,782
2021-07-15,108370,907,9270,796
2021-07-16,114054,715,9043,801
2021-07-17,119815,818,8698,818
2021-07-18,124594,639,7633,691
2021-07-19,128998,700,7999,709
2021-07-20,133704,802,8856,846
2021-07-21,137588,875,8059,910
2021-07-22,142052,864,9161,878
